issue_d,Open,High,Low,Close,Adj Close,Volume
1-Jan,24809.34961,26616.71094,24741.69922,26149.39063,26149.39063,9116920000
1-Feb,26083.03906,26306.69922,23360.28906,25029.19922,25029.19922,9450250000
1-Mar,25024.03906,25449.15039,23509.06055,24103.10938,24103.10938,8873040000
1-Apr,24076.59961,24858.9707,23344.51953,24163.15039,24163.15039,8064550000
1-May,24117.28906,25086.49023,23531.31055,24415.83984,24415.83984,7278020000
1-Jun,24542.08984,25402.83008,23997.21094,24271.41016,24271.41016,7411110000
1-Jul,24161.5293,25587.24023,24077.56055,25415.18945,25415.18945,5408500000
1-Aug,25461.63086,26167.93945,24965.76953,25964.82031,25964.82031,5635410000
1-Sep,25916.07031,26769.16016,25754.32031,26458.31055,26458.31055,5262500000
1-Oct,26598.35938,26951.81055,24122.23047,25115.75977,25115.75977,8373350000
1-Nov,25142.08008,26277.82031,24268.74023,25538.46094,25538.46094,7226940000
1-Dec,25779.57031,25980.21094,21712.5293,23327.46094,23327.46094,8101540000
